qw,qx,qy,qz,Eye X,Eye Y
0.21024859999999998,0.056532000000000006,-0.9205167,0.3244203,0.5450371,0.3198987
0.21010770000000004,0.05895908,-0.9162277,0.336014,0.5276369000000001,0.3336166
0.21010770000000004,0.05895908,-0.9162277,0.336014,0.5276369000000001,0.3336166
0.209517,0.06166424,-0.9122825000000001,0.3464689,0.5225503,0.33886669999999997
0.20846520000000002,0.06386879,-0.9088689,0.35555640000000005,0.5204648000000001,0.34252109999999997
0.20805460000000003,0.06528137,-0.9053353999999999,0.3644441,0.5207767,0.3442131
0.20805460000000003,0.06528137,-0.9053353999999999,0.3644441,0.5225699,0.35271779999999997
0.20848760000000002,0.06609417,-0.9021229,0.3719392,0.5225699,0.35271779999999997
0.20974079999999998,0.06657591,-0.8992379,0.3780844,0.5253953,0.3589742
0.2109834,0.06640861,-0.8970530999999999,0.3825857,0.5253953,0.3589742
0.2109834,0.06640861,-0.8970530999999999,0.3825857,0.5250882,0.3654746
0.2113356,0.06590429,-0.8954843000000001,0.38613709999999996,0.5250882,0.3654746
0.21030410000000002,0.0659661,-0.8940603000000001,0.3899705,0.5243300999999999,0.3660299
0.21030410000000002,0.0659661,-0.8940603000000001,0.3899705,0.5209759,0.37056500000000003
0.2083911,0.0667979,-0.8925434000000001,0.3943065,0.5209759,0.37056500000000003
0.2060306,0.06639705,-0.8913026,0.3983998,0.5197535,0.371082
0.2023692,0.06590339,-0.8895905000000001,0.4041438,0.5089329,0.3736792
0.2023692,0.06590339,-0.8895905000000001,0.4041438,0.5031816,0.3719237
0.1981547,0.06553505,-0.8880573,0.4096268,0.5031816,0.3719237
0.19227679999999997,0.06314812,-0.8867699,0.4155492,0.4986609,0.3726816
0.1850515,0.0591414,-0.8863609,0.4202648,0.49851080000000003,0.3727797
0.1850515,0.0591414,-0.8863609,0.4202648,0.4982595,0.37582340000000003
0.1776934,0.05549422,-0.8867069,0.4231979,0.4995656,0.3776879
0.17055870000000004,0.05293673,-0.8872468000000001,0.4253241,0.4995656,0.3776879
0.1625502,0.05012543,-0.887292,0.42869309999999994,0.5033976,0.3764145
0.1625502,0.05012543,-0.887292,0.42869309999999994,0.5058060999999999,0.37042390000000003
0.1521409,0.04534645,-0.8872002,0.433212,0.5087347,0.3619118
0.1412185,0.04004651,-0.8867412,0.4383419,0.5118607,0.3474854
0.1285676,0.03444265,-0.8870259,0.44211890000000004,0.5118607,0.3474854
0.1285676,0.03444265,-0.8870259,0.44211890000000004,0.5120146,0.3420793
0.11407339999999999,0.02760976,-0.8877091999999999,0.44519359999999997,0.4829607,0.3302038
0.09858634,0.02289298,-0.888208,0.4481554,0.4829607,0.3302038
0.08426699,0.02035502,-0.8880790999999999,0.4514425,0.47158809999999995,0.3242541
0.08426699,0.02035502,-0.8880790999999999,0.4514425,0.47158809999999995,0.3242541
0.07016198,0.01747397,-0.8869444,0.45618149999999996,0.4426127,0.2907417
0.05673617,0.01402853,-0.8854021000000001,0.46113699999999996,0.4426127,0.2907417
0.04460781,0.01120855,-0.8838828000000001,0.4654415,0.455079,0.28707859999999996
0.04460781,0.01120855,-0.8838828000000001,0.4654415,0.4719312,0.28636100000000003
0.03341718,0.007474252,-0.8820044,0.46999540000000006,0.4719312,0.28636100000000003
0.02168596,0.002459649,-0.8802331,0.47403950000000006,0.48086049999999997,0.28851209999999994
0.008165034,-0.0014648439999999999,-0.8789859,0.47677559999999997,0.5102694999999999,0.2877699
