x,y,z,qw,qx,qy,qz
-0.6721824,1.558389,-1.074681,0.1283398,-0.001189794,0.9882287,0.08325544
-0.6714487,1.558382,-1.073348,0.127723,-0.001164477,0.9883082,0.08326153
-0.6710743,1.558355,-1.07266,0.1275118,-0.001078096,0.9883262,0.08337233
-0.6703061,1.558197,-1.071386,0.1271104,-0.0008802616,0.9883721,0.08344308
-0.6698644,1.55819,-1.070686,0.1270016,-0.0008631675,0.9883733,0.0835949
-0.6689507,1.55823,-1.069408,0.1270566,-0.0008717564,0.98834,0.08390387
-0.668587,1.558204,-1.068734,0.1272189,-0.0009689031,0.9883035,0.08408678
-0.667624,1.558285,-1.067436,0.1280974,-0.0007117861,0.9881755,0.08426053
-0.6671566,1.558261,-1.066783,0.1285373,-0.0005179005,0.9881076,0.08438794
-0.6661451,1.558265,-1.065483,0.1298168,-0.0004048614,0.9879189,0.08463822
-0.6656066,1.558246,-1.064786,0.1305372,-0.0003229677,0.9878129,0.08476841
-0.6645323,1.558272,-1.063477,0.1322471,-0.0001726335,0.9875843,0.08478168
-0.6638379,1.558275,-1.062863,0.1328855,0.0,0.9875003,0.08476339
-0.6627617,1.558167,-1.061531,0.1347131,-0.0001220703,0.9872731,0.08452354
-0.6621244,1.558126,-1.060855,0.1355503,0.0001726335,0.9871582,0.0845275
-0.6610346,1.558087,-1.059551,0.1370234,-0.0001220703,0.9869708,0.08434052
-0.6604726,1.55808,-1.05891,0.137695,0.0,0.9868727,0.08439413
-0.6593664,1.557972,-1.057685,0.1391151,0.0001726335,0.9866624,0.08452362
-0.6589129,1.557957,-1.056983,0.1396683,0.0,0.9865733,0.08465204
-0.6578019,1.557951,-1.055796,0.140948,-0.0004401308,0.9863406,0.08523856
-0.6572394,1.558052,-1.055301,0.1413852,-0.0009134906,0.9862543,0.08550971
-0.6562828,1.558056,-1.054044,0.142474,-0.001381068,0.9860638,0.08589189
-0.6557586,1.558081,-1.053519,0.1429351,-0.001337213,0.9859806,0.08608235
-0.6547165,1.558057,-1.052289,0.1440152,-0.001386452,0.9858083,0.08625381
-0.6542609,1.558039,-1.051665,0.1444697,-0.001514853,0.9857306,0.08637922
-0.6533074,1.558075,-1.050338,0.1453801,-0.001734945,0.9855787,0.08658168
-0.6527359,1.558057,-1.049614,0.1458483,-0.001743513,0.9854879,0.08682641
-0.6516652,1.558129,-1.048232,0.1470334,-0.001529537,0.9852709,0.08729342
-0.6510623,1.558118,-1.047595,0.1475649,-0.001364788,0.9851663,0.08757888
-0.6499063,1.558142,-1.046205,0.148864,-0.001413066,0.9849524,0.08778494
-0.6492903,1.558109,-1.045409,0.1494445,-0.001500025,0.9848518,0.08792665
-0.6481605,1.558032,-1.043924,0.1507874,-0.001454636,0.9846583,0.0878014
-0.6475577,1.558015,-1.043189,0.1514423,-0.001413066,0.9845447,0.0879491
-0.6463541,1.557945,-1.041659,0.1525915,-0.001464844,0.984348,0.08816334
-0.6457635,1.557917,-1.040884,0.153302,-0.001548899,0.9842283,0.08826562
-0.6445341,1.55778,-1.039314,0.1542573,-0.001839175,0.9840613,0.08845737
-0.6439412,1.557715,-1.038363,0.1548497,-0.00179406,0.9839528,0.08863012
-0.6428118,1.557552,-1.036718,0.155859,-0.001785735,0.9837721,0.08886702
-0.6422126,1.557514,-1.035784,0.1563976,-0.001687045,0.9836743,0.08900499
-0.6411171,1.557563,-1.03402,0.1575818,-0.001760523,0.9834629,0.08925068
-0.6405276,1.557569,-1.033267,0.1581831,-0.001814706,0.9833511,0.08941824
-0.6393893,1.557537,-1.031516,0.1596152,-0.001933957,0.9831015,0.08961416
-0.6388317,1.557551,-1.030752,0.1603768,-0.001922365,0.9829482,0.08993526
-0.6378772,1.557718,-1.028982,0.1619777,-0.002293493,0.9826537,0.09027618
-0.637352,1.557715,-1.028093,0.1628285,-0.002551824,0.9824844,0.09058037
-0.6364846,1.557729,-1.026323,0.1643057,-0.002804962,0.9822042,0.09094362
-0.6359973,1.557706,-1.025466,0.1649498,-0.003078496,0.9820793,0.09111696
-0.6352375,1.557625,-1.023774,0.1662584,-0.003497693,0.9818414,0.09128681
-0.6347998,1.557649,-1.023067,0.1667274,-0.003732638,0.98175,0.09140605
-0.6339529,1.55759,-1.021522,0.1678746,-0.003898613,0.9815171,0.09179997
-0.6335537,1.557588,-1.020809,0.1684002,-0.003911968,0.9814001,0.09208643
-0.6328342,1.557456,-1.019336,0.1696093,-0.003896702,0.9811615,0.09241062
-0.6325021,1.557394,-1.018637,0.1702149,-0.003852474,0.9810497,0.09248596
-0.6319368,1.557262,-1.017212,0.1716478,-0.003953646,0.9807862,0.09262724
-0.6316264,1.557219,-1.016539,0.1723782,-0.004026471,0.9806294,0.09292751
-0.6311828,1.557051,-1.015273,0.1744206,-0.00402647,0.9802052,0.09358933
-0.6309658,1.557022,-1.014671,0.1754724,-0.00395553,0.9799843,0.09393912
-0.6307237,1.556994,-1.013445,0.1777925,-0.003629411,0.9795228,0.0944018
-0.6305692,1.557024,-1.012909,0.179043,-0.003586043,0.9792661,0.09470304
-0.6304667,1.55718,-1.011812,0.1817769,-0.004105267,0.9787015,0.09530846
-0.6304021,1.557216,-1.011284,0.1832481,-0.004394531,0.9783902,0.09567354
-0.6305153,1.557296,-1.010232,0.1865459,-0.004546198,0.9777516,0.09582146
-0.6305418,1.557271,-1.009691,0.1884092,-0.004386046,0.9774073,0.09569588
-0.6307945,1.556995,-1.008705,0.1927863,-0.003852474,0.9765916,0.09532794
-0.6308913,1.556912,-1.008209,0.1951111,-0.003742605,0.9761428,0.0951992
-0.6315112,1.55665,-1.007174,0.2004929,-0.003627358,0.9751106,0.09459803
-0.6317682,1.55655,-1.006634,0.2033819,-0.003575639,0.9745353,0.0943609
-0.632574,1.556525,-1.005604,0.2093461,-0.003750559,0.9733042,0.09401649
