x,y,z,qw,qx,qy,qz
-0.2657777,1.600084,-0.08987689,0.0484759,0.01477807,-0.9986265,-0.01329614
-0.2659194,1.600044,-0.08988285,0.0484945,0.01495199,-0.9986216,-0.01340052
-0.2662177,1.599917,-0.08967805,0.04844992,0.01506023,-0.9986235,-0.01329894
-0.2664136,1.599831,-0.08971763,0.04853642,0.01533914,-0.9986137,-0.01340886
-0.2664136,1.599831,-0.08971763,0.04853642,0.01533914,-0.9986137,-0.01340886
-0.2665411,1.599833,-0.08985162,0.04863993,0.01607393,-0.9986002,-0.01317172
-0.2668487,1.599791,-0.08975697,0.04870835,0.01644917,-0.9985942,-0.01290717
-0.2671697,1.599772,-0.08970404,0.04873052,0.01656337,-0.9985951,-0.01260165
-0.2671697,1.599772,-0.08970404,0.04873052,0.01656337,-0.9985951,-0.01260165
-0.2671665,1.599761,-0.08981562,0.04871646,0.01664146,-0.9985972,-0.01238337
-0.2673935,1.599843,-0.08998895,0.04870085,0.01670759,-0.9985985,-0.01225151
-0.2673935,1.599843,-0.08998895,0.04870085,0.01670759,-0.9985985,-0.01225151
-0.2676414,1.599818,-0.08983231,0.0485355,0.01659977,-0.9986077,-0.01230672
-0.2676518,1.599804,-0.08990073,0.04826889,0.01645189,-0.9986243,-0.01220459
-0.2676125,1.599667,-0.09003687,0.04806301,0.01646592,-0.9986344,-0.01217219
-0.2677761,1.599704,-0.08998132,0.04764043,0.01652284,-0.9986528,-0.01225151
-0.2677761,1.599704,-0.08998132,0.04764043,0.01652284,-0.9986528,-0.01225151
-0.2678597,1.599696,-0.09012866,0.04731134,0.0171125,-0.998657,-0.01236832
-0.267884,1.599621,-0.0902369,0.0471155,0.01727327,-0.9986653,-0.01222106
-0.2679311,1.599637,-0.09048223,0.04700975,0.01735246,-0.9986704,-0.01209852
-0.2679311,1.599637,-0.09048223,0.04700975,0.01735246,-0.9986704,-0.01209852
-0.2679198,1.599558,-0.09063101,0.04719356,0.01716597,-0.9986664,-0.01197845
-0.2679709,1.599676,-0.09085536,0.04708988,0.01728879,-0.9986713,-0.01180048
-0.2679709,1.599676,-0.09085536,0.04708988,0.01728879,-0.9986713,-0.01180048
-0.26799,1.599411,-0.09106612,0.04692933,0.01728836,-0.9986792,-0.0117733
-0.2679778,1.599317,-0.09135962,0.04684066,0.01729956,-0.9986856,-0.01156644
-0.2681134,1.59942,-0.09160161,0.04661999,0.01751273,-0.9986953,-0.01129398
-0.2681293,1.599254,-0.09189582,0.04655266,0.01753016,-0.9987001,-0.0111218
-0.2681293,1.599254,-0.09189582,0.04655266,0.01753016,-0.9987001,-0.0111218
-0.2682332,1.59921,-0.09221959,0.04647994,0.01750464,-0.9987066,-0.01087385
-0.2682762,1.599314,-0.09239197,0.04654658,0.01750975,-0.9987053,-0.01070536
-0.2682762,1.599314,-0.09239197,0.04654658,0.01750975,-0.9987053,-0.01070536
-0.2682208,1.599218,-0.09274244,0.04648219,0.01734988,-0.9987136,-0.01046321
-0.2681363,1.599181,-0.09310746,0.04650687,0.01714512,-0.998718,-0.01027206
-0.2681693,1.599146,-0.09327769,0.04633562,0.01702082,-0.9987295,-0.01013257
-0.2682111,1.599139,-0.09331417,0.04616841,0.01671428,-0.9987436,-0.01002167
-0.2682111,1.599139,-0.09331417,0.04616841,0.01671428,-0.9987436,-0.01002167
-0.268295,1.599116,-0.09371185,0.04594695,0.01662892,-0.9987569,-0.00985146
-0.268222,1.599162,-0.09405994,0.04580403,0.0165084,-0.9987682,-0.009575325
-0.268222,1.599162,-0.09405994,0.04580403,0.0165084,-0.9987682,-0.009575325
-0.2680827,1.599066,-0.09437847,0.04582143,0.01623673,-0.9987735,-0.009400207
-0.2679892,1.59902,-0.09463024,0.0456848,0.01603588,-0.998786,-0.009076812
-0.2678323,1.59899,-0.0948956,0.04561397,0.01589213,-0.9987937,-0.00882544
