x,y,z,qw,qx,qy,qz
0.03914428,1.658993,-0.04766989,0.02956371,0.008309752,0.996813,0.07362611
0.03914428,1.658993,-0.04766989,0.02956371,0.008309752,0.996813,0.07362611
0.03914428,1.658993,-0.04766989,0.02956371,0.008309752,0.996813,0.07362611
0.03909445,1.659008,-0.04762721,0.02949634,0.008510849,0.9968235,0.07348724
0.03881526,1.658931,-0.04733348,0.02966861,0.008465205,0.9968261,0.07338843
0.03869224,1.658908,-0.04715109,0.02983789,0.008251267,0.9968201,0.07342598
0.03869224,1.658908,-0.04715109,0.02983789,0.008251267,0.9968201,0.07342598
0.0386014,1.658913,-0.04712009,0.0297774,0.008081572,0.9968133,0.07356163
0.03853059,1.65898,-0.04710174,0.0297198,0.007973911,0.9968176,0.07353873
0.03853059,1.65898,-0.04710174,0.0297198,0.007973911,0.9968176,0.07353873
0.03851771,1.658991,-0.04712629,0.02957379,0.00805849,0.9968238,0.07350356
0.03841352,1.65899,-0.04705191,0.02943414,0.008328561,0.9968247,0.07351786
0.03822875,1.658987,-0.0468483,0.02934922,0.008515225,0.9968238,0.07354268
0.03822875,1.658987,-0.0468483,0.02934922,0.008515225,0.9968238,0.07354268
0.03794003,1.658976,-0.04651833,0.02924673,0.008584069,0.996812,0.07373461
0.03786969,1.658965,-0.04641724,0.02927805,0.008501214,0.9968174,0.07365848
0.03754115,1.659055,-0.04620171,0.0293167,0.00843081,0.9967963,0.07393613
0.03754115,1.659055,-0.04620171,0.0293167,0.00843081,0.9967963,0.07393613
0.03743958,1.65908,-0.04620624,0.02957656,0.008014917,0.9967728,0.07419515
0.03722644,1.659099,-0.04605651,0.02973534,0.007970174,0.9967754,0.07410172
0.03708649,1.659023,-0.04594135,0.02975162,0.008013989,0.9967887,0.07391114
0.03708649,1.659023,-0.04594135,0.02975162,0.008013989,0.9967887,0.07391114
0.03696942,1.659052,-0.04601002,0.02978216,0.007835356,0.9967963,0.07381693
0.03683591,1.658989,-0.04593778,0.02957605,0.007878029,0.9968204,0.07356729
0.036798,1.658788,-0.0459404,0.02942047,0.00794208,0.996834,0.07343937
0.036798,1.658788,-0.0459404,0.02942047,0.00794208,0.996834,0.07343937
0.03675008,1.659003,-0.04602623,0.02934744,0.007906351,0.996825,0.07359423
0.03675079,1.659055,-0.04590034,0.02926099,0.007958947,0.9968132,0.07378229
0.03659821,1.659019,-0.04566765,0.0295019,0.008096308,0.9967934,0.07393905
0.03659821,1.659019,-0.04566765,0.0295019,0.008096308,0.9967934,0.07393905
0.03663182,1.659148,-0.04556012,0.02985911,0.008192364,0.9967646,0.07417276
0.03655243,1.659197,-0.0454576,0.02999131,0.008312441,0.9967633,0.07412443
0.03626847,1.65917,-0.0451951,0.03017088,0.00809723,0.9967324,0.07449051
0.03626847,1.65917,-0.0451951,0.03017088,0.00809723,0.9967324,0.07449051
0.03606462,1.659115,-0.04499698,0.03019113,0.008106424,0.9967189,0.07466134
0.03598285,1.659048,-0.04488158,0.03024857,0.008088943,0.9967298,0.0744946
0.03608847,1.659066,-0.04491043,0.03054808,0.008254878,0.9967278,0.07438049
0.03608847,1.659066,-0.04491043,0.03054808,0.008254878,0.9967278,0.07438049
0.0362196,1.659031,-0.04491925,0.03078399,0.008546665,0.9967219,0.0743295
0.03621411,1.658895,-0.04487419,0.03137659,0.008640303,0.9966956,0.07442246
0.03635621,1.65891,-0.0448873,0.03162446,0.008395386,0.9967043,0.07422839
0.03635621,1.65891,-0.0448873,0.03162446,0.008395386,0.9967043,0.07422839
0.03635502,1.658822,-0.0447433,0.03204294,0.008343753,0.9966987,0.07413116
0.03630686,1.658799,-0.04443192,0.03254015,0.008387394,0.996689,0.07403914
0.03622699,1.658735,-0.04420972,0.03297187,0.008468725,0.9966779,0.07398862
0.03622699,1.658735,-0.04420972,0.03297187,0.008468725,0.9966779,0.07398862
0.03625345,1.658971,-0.04405427,0.03317304,0.008685026,0.9966632,0.07407184
0.0361495,1.659034,-0.04378414,0.03301049,0.008858302,0.996646,0.07435435
0.03593993,1.659019,-0.04340649,0.03275558,0.009017519,0.9966413,0.0745106
0.03593993,1.659019,-0.04340649,0.03275558,0.009017519,0.9966413,0.0745106
0.03581619,1.659059,-0.04322433,0.03273397,0.009039799,0.996629,0.07468189
0.0357275,1.659087,-0.04299259,0.03273829,0.009187768,0.9966184,0.07480281
0.03570104,1.6591,-0.04266596,0.03272077,0.009230647,0.996604,0.07499748
0.03570104,1.6591,-0.04266596,0.03272077,0.009230647,0.996604,0.07499748
0.03568721,1.65915,-0.04245019,0.03268773,0.009334189,0.9966,0.0750526
0.0355885,1.659179,-0.04227304,0.03272122,0.009136537,0.9965886,0.07521235
0.03546548,1.659165,-0.04201674,0.03277696,0.009179655,0.9965767,0.07534172
0.03546548,1.659165,-0.04201674,0.03277696,0.009179655,0.9965767,0.07534172
0.03544021,1.65919,-0.04163575,0.03287886,0.009311013,0.9965713,0.0753519
0.03526831,1.659178,-0.0415566,0.03295966,0.009358104,0.9965666,0.07537316
0.03513503,1.659111,-0.0413847,0.03314046,0.009276541,0.9965421,0.07562776
0.03513503,1.659111,-0.0413847,0.03314046,0.009276541,0.9965421,0.07562776
0.03533578,1.659224,-0.04149246,0.03306799,0.009338977,0.9965486,0.07556567
0.03525734,1.659119,-0.04137826,0.03304477,0.009290185,0.9965762,0.07521632
0.03521395,1.659072,-0.04125977,0.03298701,0.009131644,0.9965973,0.07498179
0.03521395,1.659072,-0.04125977,0.03298701,0.009131644,0.9965973,0.07498179
0.03504419,1.659046,-0.04081392,0.03301026,0.00920721,0.9965925,0.07502579
