TimeStamp, LeftEye X,LeftEye Y,RightEye X,RightEye Y,Eye X,Eye Y,x,y,z,qx,qy,qz,qw,pitch,yaw,roll
2019-07-24 17:48:43.128,0.627029,0.2805386,0.4463704,0.3067108,0.5366997,0.2936247,-0.3924237,1.550529,-0.2958891,-0.06296202,0.992697,-0.05870325,0.08451269,6.07942,169.853,352.2015
2019-07-24 17:48:43.146,0.627029,0.2805386,0.4489874,0.3077334,0.5380082,0.294136,-0.3924478,1.550538,-0.2958121,-0.06280301,0.9926996,-0.05888751,0.08447195,6.10236,169.857,352.218
2019-07-24 17:48:43.162,0.627029,0.2805386,0.4489874,0.3077334,0.5380082,0.294136,-0.3923943,1.550456,-0.2956276,-0.062831,0.9926972,-0.05893051,0.08444972,6.107151,169.859,352.2144
2019-07-24 17:48:43.179,0.627029,0.2805386,0.4481406,0.3076623,0.5375848,0.2941005,-0.3923943,1.550456,-0.2956276,-0.062831,0.9926972,-0.05893051,0.08444972,6.107151,169.859,352.2144
2019-07-24 17:48:43.195,0.627029,0.2805386,0.4476342,0.3070577,0.5373316,0.2937981,-0.3924804,1.550408,-0.2955523,-0.06278723,0.9927072,-0.05895844,0.08434529,6.111598,169.8711,352.2198
2019-07-24 17:48:43.213,0.627029,0.2805386,0.4441243,0.305665,0.5355766,0.2931018,-0.3924893,1.550555,-0.2954643,-0.0628406,0.992701,-0.05902109,0.08433451,6.118281,169.8714,352.213
2019-07-24 17:48:43.234,0.627029,0.2805386,0.4596982,0.3147752,0.5433636,0.2976569,-0.3925132,1.55056,-0.2953391,-0.06287474,0.9927248,-0.05886334,0.08413868,6.101482,169.8952,352.212
2019-07-24 17:48:43.246,0.627029,0.2805386,0.4596982,0.3147752,0.5433636,0.2976569,-0.3925132,1.55056,-0.2953391,-0.06287474,0.9927248,-0.05886334,0.08413868,6.101482,169.8952,352.212
2019-07-24 17:48:43.262,0.7238513,0.8728571,0.4596982,0.3147752,0.5917748,0.5938162,-0.3925931,1.550557,-0.2952139,-0.06266263,0.9927589,-0.05873802,0.0839826,6.090559,169.9156,352.2387
2019-07-24 17:48:43.280,0.7238513,0.8728571,0.4596982,0.3147752,0.5917748,0.5938162,-0.3924619,1.550496,-0.2953017,-0.0628246,0.9927441,-0.05892469,0.08390467,6.110815,169.9219,352.2185
2019-07-24 17:48:43.296,0.7295483,0.8676692,0.4596982,0.3147752,0.5946232,0.5912222,-0.3925729,1.550548,-0.2951174,-0.06284618,0.9927624,-0.05883992,0.0837324,6.102277,169.9424,352.218
2019-07-24 17:48:43.313,0.7295483,0.8676692,0.4596982,0.3147752,0.5946232,0.5912222,-0.3925729,1.550548,-0.2951174,-0.06284618,0.9927624,-0.05883992,0.0837324,6.102277,169.9424,352.218
2019-07-24 17:48:43.329,0.7295483,0.8676692,0.3037943,0.7126114,0.5166713,0.7901403,-0.3926409,1.550574,-0.2949708,-0.06316192,0.9927554,-0.05881889,0.08359259,6.097795,169.9568,352.1829
2019-07-24 17:48:43.346,0.7295483,0.8676692,0.3037943,0.7126114,0.5166713,0.7901403,-0.3928118,1.550638,-0.2947769,-0.06330944,0.9927601,-0.05873828,0.08348092,6.087998,169.9695,352.1675
2019-07-24 17:48:43.363,0.7061775,0.4744843,0.3037943,0.7126114,0.5049859,0.5935478,-0.3928407,1.550602,-0.2948804,-0.06320378,0.9927675,-0.05882332,0.08341351,6.099286,169.9771,352.1791
2019-07-24 17:48:43.380,0.7061775,0.4744843,0.3037943,0.7126114,0.5049859,0.5935478,-0.3928407,1.550602,-0.2948804,-0.06320378,0.9927675,-0.05882332,0.08341351,6.099286,169.9771,352.1791
2019-07-24 17:48:43.396,0.9623402,1.098704,0.3055485,0.7180093,0.6339444,0.9083568,-0.3929673,1.550565,-0.294771,-0.06333167,0.9927647,-0.05895187,0.08325993,6.113865,169.9929,352.1639
2019-07-24 17:48:43.415,0.9623402,1.098704,-0.9394109,1.232249,0.01146466,1.165477,-0.3929963,1.550611,-0.2946413,-0.06345344,0.9927552,-0.05904608,0.08321302,6.123754,169.9967,352.1492
2019-07-24 17:48:43.430,0.9623402,1.098704,0.55655,0.4290353,0.7594451,0.7638698,-0.3929492,1.550647,-0.2946427,-0.06346635,0.9927548,-0.05910939,0.08316304,6.131237,170.0018,352.1473
2019-07-24 17:48:43.447,0.9623402,1.098704,0.5576701,0.4269795,0.7600052,0.7628418,-0.3929492,1.550647,-0.2946427,-0.06346635,0.9927548,-0.05910939,0.08316304,6.131237,170.0018,352.1473
2019-07-24 17:48:43.463,0.9623402,1.098704,0.5576701,0.4269795,0.7600052,0.7628418,-0.3928638,1.550701,-0.2944522,-0.06339823,0.992754,-0.05896805,0.08332414,6.114536,169.9849,352.1557
2019-07-24 17:48:43.479,0.6100436,0.2812958,0.5562488,0.4304274,0.5831462,0.3558616,-0.3928142,1.550671,-0.2943144,-0.06349147,0.9927418,-0.05894126,0.08341834,6.109803,169.9738,352.1447
