x,y,z,qw,qx,qy,qz
-0.3920215,1.550639,-0.2975247,0.08379067,-0.06269722,0.9927766,-0.05867571
-0.3920232,1.550576,-0.2973502,0.08383556,-0.06259672,0.9927808,-0.05864764
-0.3920594,1.550542,-0.2972515,0.08417383,-0.062723,0.9927413,-0.05869615
-0.3920255,1.550507,-0.2971511,0.08434617,-0.06279245,0.9927139,-0.05883878
-0.3919142,1.550551,-0.2970545,0.08442792,-0.06264871,0.992714,-0.0588722
-0.3919176,1.550606,-0.2969413,0.08429386,-0.0628655,0.9927222,-0.05869501
-0.3919473,1.550643,-0.2970917,0.08427751,-0.06288671,0.9927365,-0.05845346
-0.3919473,1.550643,-0.2970917,0.08427751,-0.06288671,0.9927365,-0.05845346
-0.3921043,1.550578,-0.2969379,0.08413337,-0.06265561,0.9927751,-0.05825236
-0.3922107,1.550698,-0.2968009,0.08410867,-0.06249404,0.9927846,-0.05830082
-0.3922834,1.550786,-0.2965591,0.0841409,-0.06266239,0.9927672,-0.05836978
-0.3922834,1.550786,-0.2965591,0.0841409,-0.06266239,0.9927672,-0.05836978
-0.3922322,1.550839,-0.2965117,0.08426274,-0.06262802,0.9927563,-0.0584161
-0.392274,1.550805,-0.2963872,0.08435386,-0.0627883,0.992734,-0.0584927
-0.3922173,1.550814,-0.2962408,0.08440048,-0.06276385,0.9927326,-0.05847461
-0.3922173,1.550814,-0.2962408,0.08440048,-0.06276385,0.9927326,-0.05847461
-0.3923286,1.550842,-0.296232,0.08437576,-0.06272063,0.9927361,-0.05849779
-0.3922651,1.550786,-0.2962334,0.08437726,-0.06290887,0.9927228,-0.05851855
-0.3922749,1.550784,-0.2962661,0.08427043,-0.06292438,0.992726,-0.05860138
-0.3922749,1.550784,-0.2962661,0.08427043,-0.06292438,0.992726,-0.05860138
-0.3922384,1.550755,-0.2962465,0.08421764,-0.06281357,0.9927405,-0.05855037
-0.3923155,1.5506,-0.2962215,0.08434768,-0.06300627,0.9927106,-0.05866289
-0.3923404,1.550643,-0.2960653,0.08441133,-0.06291977,0.9927037,-0.05878101
-0.3923404,1.550643,-0.2960653,0.08441133,-0.06291977,0.9927037,-0.05878101
-0.3924237,1.550529,-0.2958891,0.08451269,-0.06296202,0.992697,-0.05870325
-0.3924478,1.550538,-0.2958121,0.08447195,-0.06280301,0.9926996,-0.05888751
-0.3923943,1.550456,-0.2956276,0.08444972,-0.062831,0.9926972,-0.05893051
-0.3923943,1.550456,-0.2956276,0.08444972,-0.062831,0.9926972,-0.05893051
-0.3924804,1.550408,-0.2955523,0.08434529,-0.06278723,0.9927072,-0.05895844
-0.3924893,1.550555,-0.2954643,0.08433451,-0.0628406,0.992701,-0.05902109
-0.3925132,1.55056,-0.2953391,0.08413868,-0.06287474,0.9927248,-0.05886334
-0.3925132,1.55056,-0.2953391,0.08413868,-0.06287474,0.9927248,-0.05886334
-0.3925931,1.550557,-0.2952139,0.0839826,-0.06266263,0.9927589,-0.05873802
-0.3924619,1.550496,-0.2953017,0.08390467,-0.0628246,0.9927441,-0.05892469
-0.3925729,1.550548,-0.2951174,0.0837324,-0.06284618,0.9927624,-0.05883992
-0.3925729,1.550548,-0.2951174,0.0837324,-0.06284618,0.9927624,-0.05883992
-0.3926409,1.550574,-0.2949708,0.08359259,-0.06316192,0.9927554,-0.05881889
-0.3928118,1.550638,-0.2947769,0.08348092,-0.06330944,0.9927601,-0.05873828
-0.3928407,1.550602,-0.2948804,0.08341351,-0.06320378,0.9927675,-0.05882332
-0.3928407,1.550602,-0.2948804,0.08341351,-0.06320378,0.9927675,-0.05882332
-0.3929673,1.550565,-0.294771,0.08325993,-0.06333167,0.9927647,-0.05895187
-0.3929963,1.550611,-0.2946413,0.08321302,-0.06345344,0.9927552,-0.05904608
-0.3929492,1.550647,-0.2946427,0.08316304,-0.06346635,0.9927548,-0.05910939
-0.3929492,1.550647,-0.2946427,0.08316304,-0.06346635,0.9927548,-0.05910939
-0.3928638,1.550701,-0.2944522,0.08332414,-0.06339823,0.992754,-0.05896805
-0.3928142,1.550671,-0.2943144,0.08341834,-0.06349147,0.9927418,-0.05894126
